y_m,airfoil_name,section_index,chord_m,cl_local,reynolds,alpha_eff_deg,alpha_sep_deg,alpha_margin_deg,alpha_excess_deg,thickness_ratio,thickness_factor,cl_attached,cd_baseline,cd_drag_rise_2d,onset_proximity,cd_pressure_rise,cd_attached,cd_separation,reference_slope_per_deg,slope_limit_per_deg,lift_per_span_N_m
0.0,naca23010,0.0,1.928,0.11787076330642692,2612107.363554844,0.0,13.25,13.25,0.0,0.10004833302099847,0.33413888368330774,0.13020203874082667,0.005860621203139795,0.0,0.0,0.0,0.005691588380631573,0.0,0.10825531362314672,0.0757787195362027,54.85805764306325
0.01905,naca23010,2.0,1.9089333333333334,0.1190480713425252,2586275.319779717,0.0,13.25,13.25,0.0,0.10004833302099847,0.33413888368330774,0.13018141731207356,0.005854215578844035,0.0,0.0,0.0,0.005681243001896695,0.0,0.1081249735724425,0.07568748150070974,54.85805764306325
0.0381,naca23010,2.0,1.8805514285714287,0.12084478424896175,2547822.7355368314,0.0,13.25,13.25,0.0,0.10004833302099847,0.33413888368330774,0.13015388976904188,0.005844544200900897,0.0,0.0,0.0,0.0056658165918377044,0.0,0.107967429050846,0.07557720033559219,54.85805764306325
0.057150000000000006,naca23010,3.0,1.849527142857143,0.12287185539960697,2505790.180991543,0.0,13.25,13.25,0.0,0.10004833302099847,0.33413888368330774,0.13012821406642802,0.005833793731235595,0.0,0.0,0.0,0.005648938957499012,0.0,0.1081680654235182,0.07571764579646273,54.85805764306325
0.0762,naca23010,3.0,1.8191000000000002,0.12492706924016882,2464566.6519930586,0.0,13.25,13.25,0.0,0.10004833302099847,0.33413888368330774,0.13010758497145866,0.005823079499205273,0.0,0.0,0.0,0.005632397223811854,0.0,0.108385626916922,0.0758699388418454,54.85805764306325
0.09525,naca23010,4.0,1.7889375,0.12703341042087332,2423701.6684073624,0.0,13.25,13.25,0.0,0.10004833302099847,0.33413888368330774,0.13009163703353083,0.005812304146630191,0.0,0.0,0.0,0.005616037820966094,0.0,0.10862239783625771,0.0760356784853804,54.85805764306325
0.11430000000000001,naca23010,4.0,1.757345,0.1293171412868794,2380899.2815385307,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13007976827540127,0.005800869089529128,0.0,0.0,0.0,0.0055989752521907535,0.0,0.10881989338727166,0.07617392537109016,54.85805764306325
0.13335,naca23010,4.0,1.7189275,0.1299700557297293,2328850.197182012,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13007199702773406,0.00579831357991494,0.0,0.0,0.0,0.0055783761937087725,0.0,0.1084709567996579,0.07592966975976052,53.929720039353505
0.1524,naca23010,5.0,1.68051,0.1288630459001753,2276801.1128254933,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13007146203772263,0.00580515986960238,0.0,0.0,0.0,0.005558003904849581,0.0,0.10809942854985194,0.07566959998489635,52.27533137820442
0.17145000000000002,naca23010,5.0,1.6419922535211267,0.1277120346404514,2224616.2117855535,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13007802035890068,0.005812556429683737,0.0,0.0,0.0,0.0055378771471392765,0.0,0.10790154581610689,0.07553108207127482,50.62094271705533
0.1905,naca23010,5.0,1.599330985915493,0.12683347452326585,2166817.554497556,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13009323482320367,0.005819065238039328,0.0,0.0,0.0,0.0055160260479574525,0.0,0.10832450722763087,0.07582715505934161,48.96655405590625
0.20955000000000001,naca23010,6.0,1.5566697183098592,0.1259067596975689,2109018.897209558,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13011626107251115,0.005826278546519917,0.0,0.0,0.0,0.00549474462980159,0.0,0.1088087254917921,0.07616610784425447,47.312165394757166
0.22860000000000003,naca23010,6.0,1.5140084507042253,0.12492781949736391,2051220.2399215603,0.0,13.0,13.0,0.0,0.10004833302099847,0.33413888368330774,0.13014632342769783,0.005834271513269625,0.0,0.0,0.0,0.005474150163813085,0.0,0.10838269469013068,0.07586788628309146,45.65777673360808
